Id,Predicted
0,11.996364
1,11.333799
2,15.29026
3,10.631456
4,12.065036
5,11.930553
6,13.713511
7,14.807118
8,12.117447
9,15.062062
10,11.515537
11,18.061693
12,19.836853
13,16.497744
14,7.601205
15,17.348507
16,10.908198
17,13.028569
18,11.600703
19,10.244718
20,9.973313
21,14.387828
22,17.451406
23,8.913127
24,16.914543
25,7.724419
26,18.308418
27,15.649159
28,9.77509
29,10.461361
30,12.268859
31,13.939928
32,15.06288
33,12.649705
34,12.034235
35,12.960316
36,15.183034
37,12.205816
38,14.485837
39,10.913352
40,19.369944
41,5.623629
42,14.395186
43,14.174246
44,14.317065
45,8.321091
46,12.875336
47,19.19404
48,14.002345
49,16.748106
50,15.706342
51,9.572341
52,18.54441
53,9.1152935
54,14.535348
55,10.446839
56,12.667456
57,7.5586724
58,14.582493
59,11.7791195
60,15.256103
61,9.106203
62,11.455738
63,14.391149
64,8.438392
65,12.735009
66,9.673349
67,13.359336
68,12.310488
69,13.8350115
70,9.372139
71,19.478537
72,11.813188
73,15.67615
74,18.169407
75,13.815787
76,10.305555
77,9.852368
78,20.41651
79,13.847814
80,8.12304
81,13.4172
82,15.196916
83,12.457507
84,9.602277
85,10.731537
86,20.126583
87,13.159622
88,13.254464
89,14.580605
90,10.595677
91,15.292727
92,14.741804
93,12.005214
94,13.863096
95,13.109968
96,11.309858
97,10.796117
98,10.315342
99,12.072114
100,22.454845
101,13.212501
102,13.088761
103,9.947467
104,17.124952
105,11.753409
106,20.715548
107,18.774906
108,10.505477
109,10.903625
110,15.900475
111,18.050291
112,11.313717
113,8.935147
114,10.509206
115,20.07896
116,20.220446
117,14.319645
118,10.903474
119,8.65759
120,8.657262
121,15.174116
122,19.028683
123,15.071918
124,10.077038
125,12.625674
126,14.576665
127,8.494993
128,12.202292
129,17.295864
130,13.74414
131,13.16574
132,12.5473995
133,15.152445
134,17.713953
135,7.5740185
136,10.700681
137,14.419663
138,9.162741
139,12.483767
140,20.34788
141,15.360417
142,16.394346
143,8.959655
144,12.621464
145,14.010954
146,12.694545
147,8.518173
148,14.597901
149,15.064811
150,16.695349
151,15.856235
152,8.93931
153,13.0081835
154,10.638062
155,22.051304
156,10.625943
157,10.932788
158,19.029543
159,9.483376
160,19.00998
161,14.5757885
162,10.213084
163,10.833259
164,11.071897
165,9.446741
166,13.19499
167,9.445706
168,12.118863
169,10.872142
170,6.308722
171,9.718288
172,10.622475
173,14.263123
174,11.613696
175,19.69818
176,11.964019
177,14.895479
178,18.88997
179,12.832109
180,9.393294
181,15.17244
182,8.042523
183,10.488107
184,9.094964
185,12.894312
186,12.112464
187,15.675786
188,9.661009
189,14.812049
190,8.253886
191,16.243391
192,10.290305
193,10.125236
